"","State","Region.Name","ASGC.2008.Code","X2004","X2005","X2006","X2007","X2008","X2009","X2010"
"1","NSW","Botany Bay (C)",105051100,3.2,3.3,3.4,3.4,2.5,4.4,4
"2","NSW","Leichhardt (A)",105054800,2.9,2.8,2.7,2.6,1.8,2.7,2.6
"3","NSW","Marrickville (A)",105055200,5.2,5,4.9,4.7,3.4,6,5.5
"4","NSW","Sydney (C) - Inner",105057201,3.7,4.1,4,3.8,2.9,3.3,3.2
"5","NSW","Sydney (C) - East",105057204,5.2,5.3,5.2,5.1,3.7,5.8,5.1
"6","NSW","Sydney (C) - South",105057205,5.3,5.4,5.2,5.1,3.8,6.1,5.6
"7","NSW","Sydney (C) - West",105057206,3.6,3.7,3.6,3.4,2.5,4.4,4.2
"8","NSW","Randwick (C)",105106550,4.1,3.5,3.2,3.7,2.6,3.6,3.6
"9","NSW","Waverley (A)",105108050,4.3,3.6,3.2,3.1,2.2,3,3
"10","NSW","Woollahra (A)",105108500,2.7,2.1,1.9,1.9,1.3,2,2.2
"11","NSW","Hurstville (C)",105154150,4.3,5.2,4.7,4.9,3.8,5.6,6.7
"12","NSW","Kogarah (A)",105154450,3.7,4.4,3.8,3.9,3.1,4.4,5.5
"13","NSW","Rockdale (C)",105156650,5.2,6,5.2,5.4,4.1,5.9,6.9
"14","NSW","Sutherland Shire (A) - East",105157151,2.9,3.3,2.8,2.9,2.4,3.7,4.4
"15","NSW","Sutherland Shire (A) - West",105157152,1.9,2.3,2,2.2,1.8,2.8,3.4
"16","NSW","Bankstown (C) - North-East",105200351,7.9,6.6,5.5,5.9,6,10.4,12.7
"17","NSW","Bankstown (C) - North-West",105200353,7.9,6.6,5.5,5.9,6,9.3,11.1
"18","NSW","Bankstown (C) - South",105200355,7.9,6.6,5.5,5.9,6,3.6,4.7
"19","NSW","Canterbury (C)",105201550,7.4,6.3,5.5,5.8,5.9,7.3,8.7
"20","NSW","Fairfield (C) - East",105252851,8,7.2,9.1,10.2,7.2,13.5,11.1
"21","NSW","Fairfield (C) - West",105252854,8,7.2,9.1,10.2,7.2,6.9,5.8
"22","NSW","Liverpool (C) - East",105254901,5,4.7,6,6.7,4.8,7.8,6.4
"23","NSW","Liverpool (C) - West",105254904,5,4.7,6,6.7,4.8,7.4,6.3
"24","NSW","Camden (A)",105301450,3.7,2.6,2.7,2.9,2.2,3.3,3
"25","NSW","Campbelltown (C) - North",105301501,10.3,7,8.2,8.7,6.3,10.2,8.4
"26","NSW","Campbelltown (C) - South",105301504,10.3,7,8.2,8.7,6.3,9.3,8.1
"27","NSW","Wollondilly (A)",105308400,4.8,3.3,3.9,4.2,3.1,4.4,3.8
"28","NSW","Ashfield (A)",105350150,7.5,3.4,4.5,6,5.4,6,6.5
"29","NSW","Burwood (A)",105351300,7.2,3.3,4.5,6.3,5.3,7.1,7.9
"30","NSW","Canada Bay (A) - Concord",105351521,3.6,1.8,2.3,3.6,3.3,3.7,4.3
"31","NSW","Canada Bay (A) - Drummoyne",105351524,3.5,1.7,2.2,3.1,2.7,3.2,3.3
"32","NSW","Strathfield (A)",105357100,7,3,4.4,6.6,5.6,5.6,6.1
"33","NSW","Auburn (A)",105400200,7.2,7.9,9.6,8.7,7.8,9.9,11.6
"34","NSW","Holroyd (C)",105403950,4.1,4.8,5.7,5.2,4.7,7.4,8.9
"35","NSW","Parramatta (C) - Inner",105406251,3.6,4.1,4.7,4.2,3.8,5.5,6.6
"36","NSW","Parramatta (C) - North-East",105406252,3.6,4.1,4.7,4.2,3.8,3.7,4.6
"37","NSW","Parramatta (C) - North-West",105406253,3.6,4.1,4.7,4.2,3.8,3.4,4.5
"38","NSW","Parramatta (C) - South",105406254,3.6,4.1,4.7,4.2,3.8,11.8,13.7
"39","NSW","Blue Mountains (C)",105450900,4.7,4.3,3.7,4,4.7,5.2,5
"40","NSW","Hawkesbury (C)",105453800,3.7,3.4,3,3.3,4.1,4.7,4.6
"41","NSW","Penrith (C) - East",105456351,5.5,4.8,4.3,4.8,5.6,7.1,6.8
"42","NSW","Penrith (C) - West",105456354,5.5,4.8,4.3,4.8,5.6,5.2,4.9
"43","NSW","Blacktown (C) - North",105530751,4.2,3.7,3.2,3.5,4,4.2,4.1
"44","NSW","Blacktown (C) - South-East",105530752,6.9,6.1,5.5,5.8,6.6,7.3,7.1
"45","NSW","Blacktown (C) - South-West",105530753,12.4,11.2,10.3,10.9,13.3,14.4,12.8
"46","NSW","Hunters Hill (A)",105554100,3.5,2.9,2.9,2.3,2.4,3.2,3.2
"47","NSW","Lane Cove (A)",105554700,3.3,2.4,2.5,2.2,2,2.7,2.9
"48","NSW","Mosman (A)",105555350,2.6,2,1.8,1.6,1.6,2,2.6
"49","NSW","North Sydney (A)",105555950,3.7,2.7,2.9,2.4,2.1,2.9,3.1
"50","NSW","Ryde (C)",105556700,5.3,4.7,5,4.1,3.8,5.5,5.3
"51","NSW","Willoughby (C)",105558250,3.8,2.9,3.3,2.6,2.4,3.2,3.4
"52","NSW","Baulkham Hills (A) - Central",105600501,3.7,3.9,3.8,3.1,3.6,3.8,3.9
"53","NSW","Baulkham Hills (A) - North",105600503,3.7,3.9,3.8,3.1,3.6,4.4,4.3
"54","NSW","Baulkham Hills (A) - South",105600505,3.7,3.9,3.8,3.1,3.6,6.4,6.3
"55","NSW","Hornsby (A) - North",105604001,3.6,3.6,3.4,2.8,3,3.8,3.9
"56","NSW","Hornsby (A) - South",105604004,3.6,3.6,3.4,2.8,3,4.1,4.2
"57","NSW","Ku-ring-gai (A)",105604500,2,2,1.8,1.4,1.4,2.1,2.4
"58","NSW","Manly (A)",105655150,3.1,3.2,2.9,2.3,2.3,3.2,4
"59","NSW","Pittwater (A)",105656370,2.5,2.5,2.3,1.9,2.2,2.9,3.9
"60","NSW","Warringah (A)",105658000,2.6,2.7,2.9,2.4,2.5,3.7,4.3
"61","NSW","Gosford (C) - East",105703101,6.1,5.5,5.3,4.7,4.2,4.1,4.2
"62","NSW","Gosford (C) - West",105703104,6.1,5.5,5.3,4.7,4.2,6,6.1
"63","NSW","Wyong (A) - North-East",105708551,9.3,8.5,8.3,7.9,7.6,9.1,8.6
"64","NSW","Wyong (A) - South and West",105708554,9.3,8.5,8.3,7.9,7.6,8.3,8.1
"65","NSW","Cessnock (C)",110051720,8.6,8.6,8,7.4,7,7,6.8
"66","NSW","Lake Macquarie (C) - East",110054651,6.1,5.8,5.3,4.8,4.3,4.8,4.9
"67","NSW","Lake Macquarie (C) - North",110054653,6.1,5.8,5.3,4.8,4.3,3.8,3.9
"68","NSW","Lake Macquarie (C) - West",110054655,6.1,5.8,5.3,4.8,4.3,5.9,5.7
"69","NSW","Maitland (C)",110055050,6.4,6.1,5.9,5.2,5.1,5,4.8
"70","NSW","Newcastle (C) - Inner City",110055903,7.6,7.4,6.5,5.8,5.4,5.8,6.1
